,exp_id,cleaning_start__min_removed_p_in_itrs,cleaning_start__max_removed_p_in_itrs,cleaning_start__avg_removed_p_in_itrs,cleaning_end__min_removed_p_in_itrs,cleaning_end__max_removed_p_in_itrs,cleaning_end__avg_removed_p_in_itrs,min_it_duration,max_it_duration,avg_it_duration
0,341492,0,4,1.14,0,3,0.06,59.34813189506531,59.97949814796448,59.81484533309936
1,341505,0,3,1.09,0,1,0.01,59.55791687965393,59.97882699966431,59.81217417240143
2,341516,0,4,1.11,0,1,0.02,59.55748891830444,59.97861409187317,59.82148211479187
3,341530,0,2,1.03,0,1,0.01,59.755555152893066,59.968940019607544,59.80115916490555
4,341550,0,4,1.06,0,1,0.03,59.54384899139404,59.96631693840027,59.81584310531616
5,341568,0,2,1.05,0,2,0.04,59.34627103805542,59.97885704040527,59.82087982654571
6,341583,0,2,1.03,0,3,0.04,59.13761591911316,59.979559898376465,59.8107342171669
7,341605,0,3,1.06,0,2,0.03,59.5580677986145,59.97971200942993,59.82144860029221
8,341618,1,2,1.09,0,2,0.02,59.34804105758667,59.98004698753357,59.81465652227402
